Roll_Max,Max_Daily_Drawdown
0.0,0.0
0.0,0.0
-0.024056697943701466,-0.024056697943701466
0.0,-0.024056697943701466
0.0,-0.024056697943701466
0.0,-0.024056697943701466
0.0,-0.024056697943701466
-0.0008590245299225918,-0.024056697943701466
-0.010308294359072212,-0.024056697943701466
-0.014221628328719982,-0.024056697943701466
-0.013744392478763023,-0.024056697943701466
-0.017371384938436596,-0.024056697943701466
-0.00782666793929554,-0.024056697943701466
-0.004963252839553234,-0.024056697943701466
-0.04209220196621177,-0.04209220196621177
-0.029397728357354103,-0.04209220196621177
-0.04381025102605696,-0.04381025102605696
-0.04390569819604828,-0.04390569819604828
-0.02872959816741416,-0.04390569819604828
-0.02872959816741416,-0.04390569819604828
-0.04762813782571329,-0.04762813782571329
-0.04304667366612569,-0.04762813782571329
-0.06700391333396971,-0.06700391333396971
-0.06032261143457107,-0.06700391333396971
-0.07855302090293037,-0.07855302090293037
-0.09582895867137553,-0.09582895867137553
-0.12570392287868692,-0.12570392287868692
-0.11300944926982925,-0.12570392287868692
-0.1185453851293311,-0.12570392287868692
-0.11835449078934812,-0.12570392287868692
-0.11911806814927928,-0.12570392287868692
-0.10098310585091153,-0.12570392287868692
-0.08141643600267257,-0.12570392287868692
-0.06433139257421017,-0.12570392287868692
-0.05784098501479429,-0.12570392287868692
-0.0909611530018134,-0.12570392287868692
-0.08676147752219132,-0.12570392287868692
-0.08571155865228586,-0.12570392287868692
-0.07597594731316215,-0.12570392287868692
-0.04944163405555024,-0.12570392287868692
-0.061849766154433494,-0.12570392287868692
-0.07358976806337691,-0.12570392287868692
-0.08399350959244056,-0.12570392287868692
-0.06786293786389241,-0.12570392287868692
-0.05889090388469975,-0.12570392287868692
-0.08475708695237172,-0.12570392287868692
-0.08933855111195943,-0.12570392287868692
-0.10833253794024988,-0.12570392287868692
-0.11024148134007805,-0.12570392287868692
-0.12818554929846315,-0.12818554929846315
-0.09430180395151266,-0.12818554929846315
-0.06767204352390921,-0.12818554929846315
-0.052114154815309455,-0.12818554929846315
-0.05612293595494866,-0.12818554929846315
-0.040374152906366145,-0.12818554929846315
-0.04629187744583363,-0.12818554929846315
-0.03292927364703635,-0.12818554929846315
-0.024529922687792194,-0.12818554929846315
-0.028156915147465766,-0.12818554929846315
-0.042664884986159946,-0.12818554929846315
-0.0332156151570101,-0.12818554929846315
-0.029302281187362333,-0.12818554929846315
