Date,YoY,YoYM2,M2+M2V,YoYGDP
1962-01-01 00:00:00,0.013348810214741677,0.07449856733524347,0.08784737754998515,0.004367472099777396
1962-01-04 00:00:00,0.0017391304347825459,0.08002500781494225,0.0817641382497248,0.026733569897242397
1962-01-07 00:00:00,-0.004039238315060656,0.07739557739557736,0.0733563390805167,0.04043225489549186
1962-01-10 00:00:00,-0.02353616532721006,0.07882814859559034,0.05529198326838028,0.07481529886319244
1963-01-01 00:00:00,-0.03207331042382592,0.08207407407407404,0.050000763650248116,0.08989611352285613
1963-01-04 00:00:00,-0.03067129629629626,0.08046309696092623,0.049791800664629966,0.08067933290732529
1963-01-07 00:00:00,-0.026651216685979168,0.08637400228050174,0.05972278559452257,0.07286528650751159
1963-01-10 00:00:00,-0.017048794826572684,0.08706606942889145,0.07001727460231877,0.054542448313159235
1964-01-01 00:00:00,-0.0029585798816567418,0.08214676889375684,0.0791881890121001,0.04656295400942402
1964-01-04 00:00:00,0.0023880597014925395,0.07607822126975616,0.0784662809712487,0.048946809113107614
1964-01-07 00:00:00,-0.003571428571428575,0.07609551298871686,0.07252408441728829,0.058153415201624745
1964-01-10 00:00:00,-0.011363636363636308,0.07932011331444762,0.0679564769508113,0.06803749918338019
1965-01-01 00:00:00,-0.010089020771513428,0.08173076923076926,0.07164174845925583,0.07745241863876767
1965-01-04 00:00:00,-0.0059559261465157885,0.08389345282549164,0.07793752667897585,0.07768454883827289
1965-01-07 00:00:00,0.003584229390681007,0.07998049256278945,0.08356472195347046,0.07384194747720514
1965-01-10 00:00:00,0.024198427102238376,0.07993319016941064,0.10413161727164902,0.0663380932137297
1966-01-01 00:00:00,0.026978417266187143,0.08070175438596491,0.10768017165215206,0.07161305540875032
1966-01-04 00:00:00,0.02576393049730373,0.07785943959577409,0.10362337009307782,0.0759083153325456
1966-01-07 00:00:00,0.031547619047619144,0.06321968841724995,0.0947673074648691,0.08278819879456271
1966-01-10 00:00:00,0.030124040165386848,0.05103844454264243,0.08116248470802928,0.10689225447750601
1967-01-01 00:00:00,0.015178050204319919,0.042424242424242475,0.057602292628562396,0.108588863037936
1967-01-04 00:00:00,-0.002336448598130843,0.048582995951417025,0.046246547353286184,0.10242525585771389
1967-01-07 00:00:00,-0.021927293710328928,0.07517519643236363,0.0532479027220347,0.0938380378021228
1967-01-10 00:00:00,-0.030389908256880697,0.08934202228295156,0.05895211402607086,0.0796067147152906
1968-01-01 00:00:00,-0.013801035077630834,0.09509966777408628,0.08129863269645544,0.06086958707306703
1968-01-04 00:00:00,0.014637002341920453,0.08859987807356233,0.10323688041548279,0.05466215972799352
1968-01-07 00:00:00,0.02064896755162237,0.07762196326288763,0.09827093081451,0.055628216358929075
1968-01-10 00:00:00,0.018332347723240636,0.07603241991509065,0.09436476763833128,0.057766572023108
1969-01-01 00:00:00,0.012827988338192431,0.07944634053849067,0.0922743288766831,0.0772557660186929
1969-01-04 00:00:00,0.009232544720138496,0.07466865783087548,0.08390120255101398,0.10054500502365785
1969-01-07 00:00:00,0.025433526011560716,0.06213343108504395,0.08756695709660467,0.09892364253328306
1969-01-10 00:00:00,0.02961672473867592,0.046269727403156304,0.07588645214183222,0.09823822181682455
1970-01-01 00:00:00,0.029936672423718953,0.035657825399613687,0.06559449782333264,0.09231493302631338
1970-01-04 00:00:00,0.03144654088050311,0.022060100746916677,0.05350664162741979,0.07992345431661137
1970-01-07 00:00:00,0.011837655016910883,0.03382226056945647,0.04565991558636735,0.08322351641995095
1970-01-10 00:00:00,-0.011844331641285904,0.056564964004113816,0.04472063236282791,0.07243267254114022
1971-01-01 00:00:00,-0.01062045835662376,0.07343962008141104,0.06281916172478728,0.0582511272609397
1971-01-04 00:00:00,-0.03769401330376943,0.11896668932698845,0.08127267602321903,0.05783334324393968
1971-01-07 00:00:00,-0.0434540389972144,0.1343682189951594,0.09091417999794502,0.054471258966402515
1971-01-10 00:00:00,-0.03538812785388131,0.13303049967553537,0.09764237182165406,0.04860679653266832
1972-01-01 00:00:00,-0.04180790960451981,0.1339864117554117,0.09217850215089189,0.07986681887366809
1972-01-04 00:00:00,-0.019009216589861704,0.12150668286755772,0.10249746627769601,0.08328469375805125
1972-01-07 00:00:00,-0.022131624927198622,0.11756915832842844,0.09543753340122982,0.08435637474575505
1972-01-10 00:00:00,-0.010059171597633079,0.12671821305841924,0.11665904146078616,0.09341195361415687
1973-01-01 00:00:00,-0.001179245283018869,0.12902326877525416,0.12784402349223528,0.084088002001487
1973-01-04 00:00:00,0.004110393423370461,0.11010292524377041,0.11421331866714088,0.09521816252418332
1973-01-07 00:00:00,0.019058963668850522,0.10138248847926268,0.12044145214811319,0.09585921412953495
1973-01-10 00:00:00,0.03945008965929472,0.07078408946498926,0.11023417912428399,0.11644740766380153
1974-01-01 00:00:00,0.018299881936245654,0.06096507466370492,0.07926495659995057,0.11935635120497258
1974-01-04 00:00:00,0.022222222222222244,0.06490179333902639,0.08712401556124863,0.11648895385152357
1974-01-07 00:00:00,0.03097603740502626,0.05367603108188879,0.08465206848691506,0.11101485704721799
1974-01-10 00:00:00,0.02415181138585383,0.060170899596486985,0.08432271098234081,0.11090718366413224
1975-01-01 00:00:00,0.02376811594202894,0.05420495521693603,0.07797307115896497,0.08255522726117798
1975-01-04 00:00:00,-0.004004576659038842,0.07125673043876739,0.06725215377972854,0.08216286025686642
1975-01-07 00:00:00,-0.01417233560090698,0.10630814613115504,0.09213581053024805,0.0880071528303756
1975-01-10 00:00:00,-0.01740595171252101,0.11698197693943804,0.09957602522691703,0.08358119582276918
