0,1
LOGI.NAS,-0.04958581062862674
LOW.NYSE,0.0024259181241791106
LPI.NYSE,-0.018438222219614442
LPLA.NAS,0.030723502792486257
LPSN.NAS,-0.10211560636646852
LPX.NYSE,-0.04758410008898489
LQD.NYSE,-0.012404752469100916
LRCX.NAS,-0.037028127050763054
LRN.NYSE,-0.0024185178018910625
LSCC.NAS,0.01103020187169182
LSI.NYSE,0.024821357126494692
LSXMK.NAS,0.004280184655776953
LTC.NYSE,0.032646027814733164
LTHM.NYSE,0.012719146918926533
LTRPA.NAS,0.0803414615628964
LTRY.NAS,-0.20032219957995873
LU.NYSE,-0.09554673092696128
LULU.NAS,0.02067850119646747
LUMN.NYSE,-0.050914697176269064
LUNA.NAS,-0.016546724604673407
LUNUSD,-0.5865129604596186
LUV.NYSE,-0.04857506060265157
LVS.NYSE,0.007590025127697381
LW.NYSE,0.03876923562331161
LXP.NYSE,-0.03181452968864207
LXRX.NAS,0.12041176036358406
LXU.NYSE,-0.035247675738006495
LYB.NYSE,-0.07801539402166568
LYFT.NAS,-0.03761726025925782
LYG.NYSE,-0.030864532400871114
LYV.NYSE,-0.009943571092918185
MCD.NYSE,0.0025820422681140653
