Ticker,Category
AWK.NYSE,Water Utilities
AMP.NYSE,Investment Banking & Investment Services
ABC.NYSE,Healthcare Equipment & Supplies
AME.NYSE,"Machinery, Equipment & Components"
APH.NYSE,Electronic Equipment & Parts
AON.NYSE,Insurance
AOS.NYSE,"Machinery, Equipment & Components"
APTV.NYSE,Automobiles & Auto Parts
ANET.NYSE,Communications & Networking
AJG.NYSE,Insurance
AIZ.NYSE,Insurance
ATO.NYSE,Natural Gas Utilities
AZO.NYSE,Specialty Retailers
AVB.NYSE,Residential & Commercial REIT
AVY.NYSE,Containers & Packaging
BKR.NYSE,Oil & Gas Related Equipment and Services
BLL.NYSE,Containers & Packaging
BAX.NYSE,Healthcare Equipment & Supplies
BDX.NYSE,Healthcare Equipment & Supplies
BBY.NYSE,Specialty Retailers
BWA.NYSE,Automobiles & Auto Parts
BXP.NYSE,Residential & Commercial REIT
BSX.NYSE,Healthcare Equipment & Supplies
CPB.NYSE,Food & Tobacco
COF.NYSE,Banking Services
CAH.NYSE,Food & Drug Retailing
KMX.NYSE,Specialty Retailers
CCL.NYSE,Hotels & Entertainment Services
CARR.NYSE,"Machinery, Equipment & Components"
CTLT.NYSE,Pharmaceuticals
CBRE.NYSE,Real Estate Operations
CNC.NYSE,Healthcare Providers & Services
CNP.NYSE,Multiline Utilities
SCHW.NYSE,Investment Banking & Investment Services
CMG.NYSE,Hotels & Entertainment Services
CHD.NYSE,Personal & Household Products & Services
CFG.NYSE,Banking Services
CLX.NYSE,Personal & Household Products & Services
CMS.NYSE,Multiline Utilities
CMA.NYSE,Banking Services
CAG.NYSE,Food & Tobacco
COP.NYSE,Oil & Gas
STZ.NYSE,Beverages
COO.NYSE,Healthcare Equipment & Supplies
GLW.NYSE,Electronic Equipment & Parts
CTVA.NYSE,Food & Tobacco
CCI.NYSE,Residential & Commercial REIT
CMI.NYSE,Automobiles & Auto Parts
DHI.NYSE,Homebuilding & Construction Supplies
DHR.NYSE,Healthcare Equipment & Supplies
DRI.NYSE,Hotels & Entertainment Services
DVA.NYSE,Healthcare Providers & Services
ACN.NYSE,Software & IT Services
BF/B.NYSE,Food & Tobacco
XRAY.NAS,Healthcare Equipment & Supplies
DVN.NYSE,Oil & Gas
DXCM.NAS,Healthcare Equipment & Supplies
FANG.NAS,Oil & Gas
DLR.NYSE,Residential & Commercial REIT
DFS.NYSE,Banking Services
DLTR.NAS,Diversified Retail
DPZ.NYSE,Hotels & Entertainment Services
DOV.NYSE,"Machinery, Equipment & Components"
DTE.NYSE,Electrical Utilities & IPPs
DUK.NYSE,Electrical Utilities & IPPs
DRE.NYSE,Residential & Commercial REIT
DXC.NYSE,Software & IT Services
EMN.NYSE,Chemicals
ETN.NYSE,"Machinery, Equipment & Components"
ECL.NYSE,Chemicals
EIX.NYSE,Electrical Utilities & IPPs
EMR.NYSE,"Machinery, Equipment & Components"
ENPH.NAS,Renewable Energy
ETR.NYSE,Electrical Utilities & IPPs
EOG.NYSE,Oil & Gas
EFX.NYSE,Professional & Commercial Services
EQR.NYSE,Residential & Commercial REIT
ESS.NYSE,Residential & Commercial REIT
ETSY.NAS,Diversified Retail
EVRG.NYSE,Electrical Utilities & IPPs
EXC.NAS,Electrical Utilities & IPPs
EXPE.NAS,Hotels & Entertainment Services
EXPD.NAS,Freight & Logistics Services
EXR.NYSE,Residential & Commercial REIT
FFIV.NAS,Software & IT Services
FAST.NAS,"Machinery, Equipment & Components"
FRT.NYSE,Residential & Commercial REIT
FDX.NYSE,Freight & Logistics Services
FIS.NYSE,Financial Technology (Fintech) & Infrastructure
FITB.NAS,Banking Services
FRC.NYSE,Banking Services
FISV.NAS,Professional & Commercial Services
FLT.NYSE,Professional & Commercial Services
FLS.NYSE,"Machinery, Equipment & Components"
FMC.NYSE,Chemicals
FTNT.NAS,Software & IT Services
FTV.NYSE,"Machinery, Equipment & Components"
FBHS.NYSE,Homebuilding & Construction Supplies
FCX.NYSE,Metals & Mining
BEN.NYSE,Investment Banking & Investment Services
GPS.NYSE,Specialty Retailers
GRMN.NAS,Communications & Networking
GIS.NYSE,Food & Tobacco
GPC.NAS,Automobiles & Auto Parts
GPN.NYSE,Professional & Commercial Services
GWW.NYSE,"Machinery, Equipment & Components"
HAL.NYSE,Oil & Gas Related Equipment and Services
HBI.NYSE,Textiles & Apparel
HIG.NYSE,Insurance
HAS.NAS,Passenger Transportation Services
HCA.NYSE,Healthcare Providers & Services
PEAK.NYSE,Residential & Commercial REIT
HSIC.NAS,Healthcare Equipment & Supplies
HSY.NYSE,Food & Tobacco
HES.NYSE,Oil & Gas
HPE.NYSE,"Computers, Phones & Household Electronics"
HLT.NYSE,Hotels & Entertainment Services
HOLX.NAS,Healthcare Equipment & Supplies
HRL.NYSE,Food & Tobacco
HST.NAS,Residential & Commercial REIT
HWM.NYSE,Aerospace & Defense
HPQ.NYSE,"Computers, Phones & Household Electronics"
HUM.NYSE,Healthcare Providers & Services
HBAN.NAS,Banking Services
HII.NYSE,Aerospace & Defense
IEX.NYSE,"Machinery, Equipment & Components"
IDXX.NAS,Healthcare Equipment & Supplies
ITW.NYSE,Consumer Goods Conglomerates
ILMN.NAS,Healthcare Equipment & Supplies
INCY.NAS,Pharmaceuticals
ICE.NYSE,Investment Banking & Investment Services
IPG.NYSE,Media & Publishing
IFF.NYSE,Food & Tobacco
IVZ.NYSE,Investment Banking & Investment Services
IPGP.NAS,Electronic Equipment & Parts
IQV.NYSE,Biotechnology & Medical Research
IRM.NYSE,Residential & Commercial REIT
JBHT.NAS,Freight & Logistics Services
SJM.NYSE,Food & Tobacco
JCI.NYSE,"Machinery, Equipment & Components"
JNPR.NYSE,Communications & Networking
KEY.NYSE,Oil & Gas Related Equipment and Services
KEYS.NYSE,"Machinery, Equipment & Components"
KMB.NYSE,Personal & Household Products & Services
KIM.NYSE,Residential & Commercial REIT
KMI.NYSE,Oil & Gas Related Equipment and Services
KLAC.NAS,Semiconductors & Semiconductor Equipment
LB.NYSE,Chemicals
LHX.NYSE,Aerospace & Defense
LRCX.NAS,Semiconductors & Semiconductor Equipment
LVS.NYSE,Hotels & Entertainment Services
LEG.NYSE,Household Goods
LDOS.NYSE,Software & IT Services
LEN.NYSE,Homebuilding & Construction Supplies
LNC.NYSE,Insurance
LYV.NYSE,Media & Publishing
LUMN.NYSE,Telecommunications Services
LYB.NYSE,Chemicals
MTB.NYSE,Banking Services
MRO.NYSE,Oil & Gas
MPC.NYSE,Oil & Gas
MMC.NYSE,Insurance
