0,NumberStocks
TRNO.NYSE,0.03333333333333333
MPLX.NYSE,0.03333333333333333
ALT.NAS,0.03333333333333333
ONEM.NAS,0.03333333333333333
MRTX.NAS,0.03333333333333333
BLUE.NAS,0.03333333333333333
RGS.NYSE,0.03333333333333333
GOSS.NAS,0.03333333333333333
STEM.NYSE,0.03333333333333333
PGEN.NAS,0.03333333333333333
COMM.NAS,0.03333333333333333
TUP.NYSE,0.03333333333333333
OCUL.NAS,0.03333333333333333
VHC.NYSE,0.03333333333333333
OSH.NYSE,0.03333333333333333
AGEN.NAS,0.03333333333333333
ENPH.NAS,0.03333333333333333
RFP.NYSE,0.03333333333333333
BCRX.NAS,0.03333333333333333
BBIO.NAS,0.03333333333333333
VKTX.NAS,0.03333333333333333
BBBY.NAS,0.03333333333333333
MXL.NYSE,0.03333333333333333
CHRS.NAS,0.03333333333333333
CSIQ.NAS,0.03333333333333333
SWIR.NAS,0.03333333333333333
ETSY.NAS,0.03333333333333333
MRNS.NAS,0.03333333333333333
CYTK.NAS,0.03333333333333333
DKS.NYSE,0.03333333333333333
